total_loss,pred_loss,policy_loss,sigreg_loss,learning_rate,epsilon,avg_norm_z_t
0.21567553281784058,0.20440377295017242,0.15524303913116455,0.5635883808135986,0.001,0.9995,tensor(0.0011)
0.20897479355335236,0.1987888514995575,48.19775390625,0.5092968344688416,0.000999,0.9990002500000001,tensor(0.0012)
0.19713766872882843,0.18741287291049957,55.88408279418945,0.4862397611141205,0.000999,0.9985007498750001,tensor(0.0012)
0.1872795820236206,0.1776672899723053,49.67387390136719,0.4806146025657654,0.000999,0.9980014995000627,tensor(0.0011)
0.1917225420475006,0.18182192742824554,138.01473999023438,0.49503093957901,0.000999,0.9975024987503127,tensor(0.0011)
0.16963766515254974,0.15987229347229004,17.944107055664062,0.4882687032222748,0.000999,0.9970037475009376,tensor(7.6535e-05)
0.15984398126602173,0.15010608732700348,23.024784088134766,0.486894816160202,0.000999,0.9965052456271871,tensor(0.0012)
0.14927485585212708,0.13956141471862793,49.15821838378906,0.48567211627960205,0.000999,0.9960069930043736,tensor(0.0018)
0.1342231035232544,0.12442595511674881,21.470829010009766,0.4898574650287628,0.000999,0.9955089895078715,tensor(0.0008)
0.11530107259750366,0.1054142490029335,8.88554573059082,0.49434128403663635,0.000999,0.9950112350131176,tensor(0.0003)
0.11561506241559982,0.1056484803557396,1369.0777587890625,0.49832913279533386,0.000999,0.9945137293956111,tensor(0.0007)
0.10502276569604874,0.09505210816860199,298.8536376953125,0.4985330402851105,0.000998001,0.9940164725309134,tensor(0.0008)
0.10464592278003693,0.09479198604822159,229.2541046142578,0.4926968514919281,0.000998001,0.993519464294648,tensor(0.0009)
0.08616534620523453,0.07634758204221725,11.012555122375488,0.4908881187438965,0.000998001,0.9930227045625007,tensor(0.0008)
0.08031362295150757,0.07063502818346024,25.601957321166992,0.4839296340942383,0.000998001,0.9925261932102195,tensor(0.0006)
0.07567586749792099,0.06609032303094864,62.19413375854492,0.479277104139328,0.000998001,0.9920299301136144,tensor(0.0012)
0.061660729348659515,0.05223201960325241,9.671712875366211,0.4714355170726776,0.000998001,0.9915339151485576,tensor(0.0011)
0.07438365370035172,0.06509777158498764,15.966217041015625,0.46429410576820374,0.000998001,0.9910381481909833,tensor(0.0013)
0.06900876760482788,0.059912391006946564,428.3951110839844,0.454818993806839,0.000998001,0.990542629116888,tensor(6.7337e-05)
0.05373255908489227,0.04480957239866257,9.446337699890137,0.4461492896080017,0.000998001,0.9900473578023296,tensor(0.0011)
0.04025624692440033,0.031497273594141006,19.97144889831543,0.43794870376586914,0.000998001,0.9895523341234285,tensor(0.0011)
0.034831028431653976,0.02622767724096775,17.94976234436035,0.430167555809021,0.000997002999,0.9890575579563669,tensor(0.0015)
0.03282032907009125,0.02436784841120243,4.195945739746094,0.4226239323616028,0.000997002999,0.9885630291773887,tensor(0.0014)
0.0320902019739151,0.023787835612893105,85.3005142211914,0.4151182174682617,0.000997002999,0.9880687476628001,tensor(0.0009)
